raw,conformed,comment
LOAD + LOSSES,LoadDecl_and_Losses,ignoring everything befor Jan2010
LOAD DECLARATIONS + LOSSES,LoadDecl_and_Losses,"somewhere between 12/03/10 and 11/04/10  both """"Load+Losses"""" and """"Load delclaration+Losses"""". ThenRenewables becomome Reneables NPEO"
NORTH ZONE LOAD FORECAST,LoadDeclNorth,
SOUTH ZONE LOAD FORECAST,LoadDeclSouth,
NORTH ZONE LOAD DECLARATIONS,LoadDeclNorth,
SOUTH ZONE LOAD DECLARATIONS,LoadDeclSouth,
RENEWABLES TOTAL,RENEWABLES,
MANDATORY HYDROS,MANDATORY HYDRO INJECTIONS,
ENTHESS,ELPEDISON_THESS,
ELPEDISON_THES_G,ELPEDISON_THESS_GT,
ELPEDISON_THIS_G,ELPEDISON_THISVI_GT,
HERON1_G,HERON1,
HERON2_G,HERON2,
HERON3_G,HERON3,
KOMOTINI_G,KOMOTINI_GT,
LAVRIO4_G,LAVRIO4_GT,
SFIKIA PUMPING,SFIKIA_PUMP,
THESAVROS1 PUMPING,THESAVROS1_PUMP,
THESAVROS2 PUMPING,THESAVROS2_PUMP,
THESAVROS3 PUMPING,THESAVROS3_PUMP,
